"vm_id";"vm_name";"cpu_count";"cpu_core_count";"ram";"hypervisor";"resize_type"
477;"host527";2;2;15762;"Hyper-v";"no_change"
478;"host528";1;4;65536;"Hyper-v";"no_change"
479;"host529";1;2;8192;"Hyper-v";"no_change"
480;"host530";2;4;40960;"Hyper-v";"no_change"
481;"host531";2;2;49152;"Hyper-v";"no_change"
482;"host532";1;8;65536;"Hyper-v";"no_change"
483;"host533";4;8;131072;"Hyper-v";"no_change"
484;"host534";1;8;49152;"Hyper-v";"no_change"
485;"host535";1;4;8192;"Hyper-v";"no_change"
486;"host536";1;2;8192;"Hyper-v";"no_change"
487;"host537";1;2;8192;"Hyper-v";"no_change"
488;"host538";2;8;131072;"Hyper-v";"no_change"
489;"host539";1;8;24576;"Hyper-v";"no_change"
490;"host540";1;4;16384;"Hyper-v";"no_change"
491;"host541";2;4;24576;"Hyper-v";"no_change"
492;"host542";1;8;16384;"Hyper-v";"no_change"
493;"host543";1;4;16384;"Hyper-v";"no_change"
494;"host544";2;8;75776;"Hyper-v";"no_change"
495;"host545";3;2;40960;"Hyper-v";"no_change"
496;"host546";1;4;24576;"Hyper-v";"no_change"
497;"host547";8;0;0;"Hyper-v";"no_change"
498;"host548";1;2;7698;"Hyper-v";"no_change"
499;"host549";3;2;16384;"Hyper-v";"no_change"
500;"host550";4;1;16384;"Hyper-v";"no_change"
501;"host551";4;1;8192;"Hyper-v";"no_change"
502;"host552";4;2;65536;"Hyper-v";"no_change"
503;"host553";1;2;8192;"Hyper-v";"no_change"
504;"host554";8;2;65536;"Hyper-v";"no_change"
